アクティビティ（バックボーン）,ユーザーストーリー,優先度,受け入れ条件（簡易）,メモ / ルール,KPI（任意）,依存関係,ステータス
収集（インボックス）,ユーザーとして、今すぐ決めなくていいように、やりたいことをインボックス（自由入力）に全部書き出したい。,MVP,セットアップ中に複数行を入力して［保存］すると、各行がインボックス項目として作成される。,制限：2分以内。『運動』のような曖昧な項目もOK。,セットアップ完了率,,
収集（インボックス）,ユーザーとして、入力せずにアイデアを追加できるように、よくある習慣の提案チップが欲しい。,MVP,チップをタップすると、編集可能なインボックス項目が追加される。,チップ例：運動/勉強/読書/日記/片付け/早寝…（後でカスタム可）。,,インボックス,
収集（インボックス）,ユーザーとして、素早く吐き出せるように、音声入力でインボックスに追加したい。,後で,音声入力するとテキスト化され入力欄に入り、編集できる。,キーボード入力にフォールバック。任意機能。 / いったん優先度は低め（後で）,,,
収集（インボックス）,ユーザーとして、リストを使いやすく保つために、インボックス項目を並べ替えたりアーカイブしたい。,次,ドラッグで並べ替え、スワイプ等でアーカイブでき、後から復元できる。,アーカイブ＝削除ではない（復元可能）。,,,
行動の定義,ユーザーとして、忙しい日でも何かできるように、各習慣に「最小行動（約1分）」を持たせたい。,MVP,最小行動が未設定の場合、プリセットを提示し、選択または編集できる。,空ならプリセットを出すのをデフォルトにする。,日次完了率,インボックス,
行動の定義,ユーザーとして、余裕のある日に成長を早められるように、「標準行動（5〜15分）」も設定したい。,次,標準行動は任意で設定でき、最小行動は必ず（または強く推奨）設定できる。,レベルは2段階だけ（複雑化しない）。,,最小行動,
行動の定義,ユーザーとして、曖昧な項目を実行可能にするために、カテゴリに応じた最小行動プリセットを提案してほしい。,MVP,最小行動が空のとき、プリセットを3つ提案し、選択または編集できる。,ルール：動詞＋（時間/回数/量）。「カスタム」も可。,,インボックス,
行動の定義,ユーザーとして、賢いおすすめのために、習慣にカテゴリと所要時間（例：1/5/15分）を素早く付けたい。,次,カテゴリと所要時間をそれぞれ1タップで設定できる。,任意。スキップしても後から聞ける。,,,
行動の定義,ユーザーとして、曖昧な「やりたいこと」をすぐ実行できる形にするために、入力内容から「最小行動」「標準行動」を3案ずつ自動提案してほしい。,MVP,入力後、最小行動3案＋標準行動3案が表示される／各案は1分版・5〜15分版として成立する（回数・時間・量が明確）,カテゴリ推定（健康/学習/生活…）＋所要時間バケット（1/5/15分）を自動付与してもOK。提案は“準備が要らない”を優先。,提案採用率／提案からの初回完了率（D1）,インボックス入力,未着手
行動の定義,ユーザーとして、迷わず決められるように、提案はワンタップで採用でき、必要なら少しだけ編集できるようにしたい。,MVP,提案カードに「採用」「編集」ボタンがある／採用後は習慣カードに反映される,編集はテキスト1箇所（回数/時間）だけでも成立するようにする。,オンボーディング完了率,自動提案,未着手
行動の定義,ユーザーとして、納得して続けるために、提案の意図（短い理由）を見たい。,次,各提案に短い理由（例：道具不要／1分で開始可／忙しい日向け）が表示される,説明は1行で十分。迷いを増やさない。,採用率の変化,自動提案,未着手
週次キャパ,ユーザーとして、「毎日全部やらなきゃ」を避けるために、週のキャパ（例：3/5/7回）を設定したい。,MVP,セットアップで週キャパを選ぶと、その数が今週の上限として反映される。,デフォルト提案：3。,週次達成率,,
週次キャパ,ユーザーとして、計画を現実的に保つために、週の途中でもキャパを調整したい。,次,キャパを変更でき、進捗はペナルティなしで再計算される。,実行済み回数より小さくした場合は、実行済み回数を下限にする。,,週次キャパ,
今週の計画,ユーザーとして、軽くコミットするために、インボックスから週キャパ分だけ「今週やる」に選びたい。,MVP,「今週やる」に追加するとキャパ超過を防ぐ（またはキャパ増加を提案）する。,確認付きで上書き（例外）も可能。,,週次キャパ＋インボックス,
今週の計画,ユーザーとして、習慣ごとに週の回数（週1/2/3）を設定し、今週の計画に反映したい。,次,週頻度を設定すると、今週リストに必要回数が表示・反映される。,選択肢は少なく：1/2/3。,,今週やるリスト,
今週の計画,ユーザーとして、始めやすくするために、週次計画は任意で、最小の1つだけでも始められるようにしたい。,MVP,週次計画をスキップしても、アプリが最も低負担な項目を提案して開始できる。,デフォは最も低負担の項目。,D1完了率,インボックス,
今週の計画,ユーザーとして、必要なら生活リズムに合わせられるように、習慣を曜日に固定（ピン留め）したい。,後で,任意で曜日固定でき、固定した日は優先的に提示される。,逃したときの「振替/入れ替え」を必ず用意する。,,今週やるリスト,
今日（1つ）,ユーザーとして、迷わず始められるように、アプリが今日やる1つをおすすめしてほしい。,MVP,未消化・期限・今週残数などを考慮して、今日の1つを提案する。,優先度：未消化/期限/今週残数。,起動→開始率,今週やる／インボックス,
今日（1つ）,ユーザーとして、提案が合わない時に自分で選べるように、入れ替えで候補を見たい。,MVP,［入れ替え］を押すと代替候補を3つ表示できる。,代替候補は低負担順に並べる。,,おすすめ,
今日（1つ）,ユーザーとして、罪悪感なく休めるように、今日はスキップしてもペナルティがないようにしたい。,MVP,スキップしても否定的メッセージや「連続が途切れた」演出を出さない。,恐怖系の“streak broken”は禁止。,再訪率,,
今日（1つ）,ユーザーとして、着手のハードルを下げるために、「2分スタート（最小行動）」をすぐ選べるようにしたい。,MVP,今日の画面から最小行動にワンタップで切り替えられる。,デフォルトは最小行動。,開始率,最小行動,
チェックイン,ユーザーとして、記録が負担にならないように、1〜2タップで完了にしたい。,MVP,完了は即時反映し、モーダルを必須にしない。,完了後の追加入力は任意。,完了までの時間,今日のタスク,
チェックイン,ユーザーとして、書かなくても傾向に気づけるように、気分（🙂/😐/🙁）をさっと記録したい。,次,完了時に気分を選べる（任意）。,後でインサイトに使う。,,チェックイン,
チェックイン,ユーザーとして、成長を実感するために、「小さな変化」を一言で残したい。,MVP,完了時に一言メモ（例：最大40字）を書ける（任意）。,プロンプトをローテーションし、例文を表示する。,記述率,チェックイン,
チェックイン,ユーザーとして、言葉が出ない時でも記録できるように、よくあるメモのチップが欲しい。,次,チップをタップするとメモ欄に追加され（編集可）、記録が完了できる。,チップ例は必要に応じて追加・編集できる。,,小さな変化メモ,
